1 ;ASD ;Algorithmique ;0 ;4 ;20 ;6 ;1 ;0 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
2 ;AA ;Analayse ;4 ;0 ;20 ;6 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
3 ;OFI ;informatique ;4 ;0 ;20 ;1 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
4 ;Stat ;Statistique ;0 ;4 ;20 ;6 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
5 ;BC ;Comptabilite ;4 ;0 ;20 ;6 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
6 ;GF ;Gestion ;4 ;0 ;20 ;6 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
7 ;GF ;gestion ;4 ;0 ;20 ;6 ;1 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
8 ;SDCA ;Structure ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
9 ;ACO ;ACOO ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
10 ;PDL ;DeveloppementLogiciel ;0 ;14 ;10 ;6 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
11 ;CG ;ControleGestion ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
12 ;GP ;GestionProduction ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
13 ;EJ ;EnvironnementJuridique ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
14 ;MPCT ;MethodePrevisionCourtTerme ;0 ;5 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
15 ;RO ;RechercheOperationnelle ;5 ;0 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
16 ;AD ;AnalyseDeDonnee ;0 ;5 ;10 ;15 ;2 ;1082130432 ;1.000000 ;1.000000 ;1.000000 ;1.000000 
